Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9878048780487805,1.0,0.9767441860465116,0.9882352941176471
Decision Tree,0.9939024390243902,1.0,0.9883720930232558,0.9941520467836257
